Player,Accurate Long Balls,Accurate Short Passes,Key Passes,Expected Assist,Out of Box Shots,Open Play Shots,Shots on Target,Successful Dribbles,Attempted Tackles,Tackles Won,Interceptions,Clearances
Badou Ndiaye,1.9,31.6,1.1,0.08,0.7,1.2,0.7,1.7,3.1,2.1,1,1
Amir Hadziahmedovic,6.9,42.8,0.8,0.15,0.9,0.9,0.3,1.3,2.7,1.5,1,1
Marko Jevtovic,2,31.2,0.4,0.03,0.2,0.3,0.3,0.1,2.6,1.7,2.2,1.2
Valentin Eysseric,4,29.9,1,0.08,1.3,1.3,0.4,1,3,1.8,0.5,0.5
Willian Arao,3.2,42.8,0.6,0.09,0.2,0.4,0.5,0.1,3.3,2.5,1.9,1.3
Tolga Cigerci,4.3,50.8,1.4,0.14,1.3,1,0.4,0.5,2.3,1.6,2.1,1.6
Oliveira,4.3,37.6,2.3,0.21,2.4,2.1,1.3,0.8,3,2,0.8,0.5
Ozdoev,2.4,35.2,1.1,0.07,0.4,0.6,0.3,0.2,2.3,1.8,0.7,1.2
Torreira,2.9,50.1,1,0.11,0.3,0.3,0.1,0.3,3.8,3.1,1.6,0.7
Durel,1.2,19.8,0.9,0.11,0.6,1.6,0.8,0.6,1.3,0.7,0.8,0.6
Campanharo,2.5,42.2,0.1,0.02,0.1,0.1,0.1,0.1,5.2,3.6,1.7,1.4
Berkay Özcan,1,25.7,1.1,0.09,0.6,1.2,0.7,1.1,1.4,0.9,0.6,0.3
Muammer,2.8,37.7,1,0.09,0.4,0.7,0.1,1.2,4.2,2.8,0.7,0.3
Fernando,7.8,46.9,1.7,0.17,1.7,1.2,0.7,0.5,2.6,1.7,1.1,0.5
Haris,2.5,23.2,1.3,0.11,0.7,0.8,0.4,0.4,4.3,2.7,0.7,0.4
Melih Kabasakal,2.8,44.5,0.4,0.07,0.8,0.7,0.5,0.6,5.8,4.1,2.5,1.3
Soner Dikmen,2.4,28.8,0.6,0.05,0.6,1.6,0.8,0.4,2.4,1.5,1.4,0.6
Gedson,0.6,29.4,0.8,0.1,0.2,0.5,0.1,1.5,4.2,3.1,0.8,0.4
Salih,2.2,31.8,1.7,0.25,1,1.4,0.6,0.9,3.6,2.5,1.3,1.1
Aabid,3.5,41.1,0.5,0.06,0.6,0.5,0.1,0.9,1.7,1.3,0.4,0.2
Mejia,2.5,29.1,0.4,0.02,0.6,0.4,0.1,0.4,2.4,1.7,1.5,1.2
Onur Ergün,3.3,37.2,0.2,0.06,0.5,0.6,0.1,0.2,3.6,2.8,1.2,1.7
Shukurov,2.6,36.4,0.2,0.04,0.5,0.7,0.3,0.4,2.4,1.8,0.7,1.6
Ulvestad,1.4,26.2,1,0.1,0.3,0.9,0.4,0.5,2.6,1.9,0.7,0.5
Campuzano,3.3,30.6,0.4,0.03,0.2,0.2,0.4,1,3.8,2.5,1.3,0.7
Mahmut Tekdemir,3.3,40.9,1.1,0.06,0.4,0.5,0,0,2.2,1.7,1.1,1.5
Mensah,3.3,41.2,0.9,0.07,1.4,1.6,0.6,1.2,2.5,1.9,0.8,1.4
Umut Günes,2.1,46.3,0.5,0.1,0.4,0.5,0.2,0.6,2,1.6,0.7,0.7
Taylan,1.7,26,0.8,0.17,0.5,0.7,0.4,0.4,1.5,0.8,0.7,1.1
Oguz Gürbulak,2.5,29.8,1.1,0.09,0.6,1,0.2,0.5,2.8,1.9,1.4,1.2
Bakasetas,3,48,3.3,0.39,1.8,2.2,1,0.9,3,2.2,1.1,0.6
Ufuk Akyol,2.6,32.3,0.4,0.02,0.4,0.4,0.1,0.3,3.3,2.2,0.6,1.2
Tirpan,2.4,31.6,0.7,0.1,1.1,0.9,0.6,0.8,3.3,2.2,2.5,1.6
Siopis,3.4,45.5,0.9,0.1,0.7,0.3,0,1,3.2,2.2,1.3,0.3
Stambouli,3.2,38,1,0.12,0.6,0.6,0,1,2.8,1.8,1.2,2.3
Furkan Soyalp,1.4,22.4,1.1,0.15,0.9,1.5,0.2,0.4,6.2,3,1.3,1.1
Kartal Yilmaz,4.8,35.8,1.9,0.17,0.5,0.5,0.3,0.4,3.2,1.8,1.8,1.3
Crespo,1.8,38,1.2,0.14,0.9,1.1,0.6,1.4,3.7,3.2,0.7,0.2
Jimmy Durmaz,4.4,38.7,1.1,0.07,0.8,1,0.6,1,2.4,1.2,0.6,0.5
Mehdi Boudjemaa,3,26,0.9,0.04,0.8,0.7,0.2,1,1.9,1.7,0.4,0.5
Leroy Fer,2,45.4,0.7,0.07,0.3,0.3,0.3,0.6,2.8,2.2,0.6,1.3
Aleksic,2.4,27.5,1.2,0.06,0.6,1.7,1.2,0.3,2.2,1.2,0.1,0.8
Eduord Rroca,1.6,32.4,0.7,0.08,0.2,0.4,0.2,0.4,3.9,2.8,1,1.6