Player,Age,Season,Team,Value
Simone Verdi,28,20/21,SSC Napoli,22000000
Ciro Immobile,23,13/14,Juventus,13500000
Simone Zaza,28,19/20,Valencia,12000000
M'Baye Niang,23,18/19,AC Milan,12000000
Soualiho Meïté,24,18/19,Monaco,11500000
Armando Izzo,26,18/19,Genoa,10700000
Ola Aina,22,19/20,Chelsea,9800000
Adem Ljajic,24,16/17,AS Roma,9000000
Samuele Ricci,20,22/23,FC Empoli,8500000
Andrea Belotti,21,15/16,US Palermo,8400000
Lyanco,20,17/18,São Paulo,7750000
Karol Linetty,25,20/21,Sampdoria,7500000
Rolando Bianchi,25,08/09,Man City,7000000
Álex Berenguer,22,17/18,CA Osasuna,7000000
Alessio Cerci,25,12/13,Fiorentina,6750000
Antonio Sanabria,24,20/21,Real Betis,6500000
Iago Falque,27,16/17,AS Roma,6000000
Daniele Baselli,23,15/16,Atalanta BC,6000000
Tomás Rincón,30,18/19,Juventus,5900000
David Zima,20,21/22,Slavia Prague,5900000
Bremer,21,18/19,Atlético-MG,5800000
Mërgim Vojvoda,25,20/21,Standard Liège,5200000
Pietro Pellegri,21,22/23,Monaco,5000000
Marco Benassi,19,14/15,Inter,4800000
Davide Zappacosta,23,15/16,Atalanta BC,4300000
Simone Barone,28,06/07,US Palermo,4100000
Walter Schachner,26,83/84,Cesena,3850000
David Di Michele,31,07/08,US Palermo,3800000
Simone Vergassola,25,01/02,Sampdoria,3700000
Elvis Abbruscato,25,05/06,Arezzo,3600000
Barreto,27,12/13,Udinese Calcio,3550000
Nicolas N'Koulou,28,18/19,Olympique Lyon,3500000
Fabio Quagliarella,31,14/15,Juventus,3500000
Lorenzo De Silvestri,28,16/17,Sampdoria,3500000
Cesare Natali,28,07/08,Udinese,3500000
Nikola Maksimovic,22,14/15,Apol. Limassol,3500000
Demba Seck,20,21/22,SPAL,3500000
Yksel Osmanovski,24,01/02,Bari,3500000
Mirko Valdifiori,30,16/17,SSC Napoli,3400000
Casagrande,28,91/92,Ascoli,3400000
Juan Sánchez Miño,24,14/15,Boca Juniors,3200000
Afriyie Acquah,23,15/16,TSG Hoffenheim,3100000
Tomás Rincón,29,17/18,Juventus,3000000
Koffi Djidji,26,19/20,FC Nantes,3000000
Nicola Amoruso,33,08/09,Reggina,3000000
Francesco Pratali,29,08/09,Empoli,3000000
Josef Martínez,21,14/15,BSC Young Boys,3000000
Marko Bakic,18,12/13,Mogren,3000000
Mirco Antenucci,26,10/11,Catania,2800000
Alessandro Gazzi,29,12/13,Siena,2600000
Vanja Milinković-Savić,20,17/18,Lechia Gdansk,2600000
Cristian Ansaldi,32,19/20,Inter,2500000
Rafa Martín Vázquez,24,90/91,Real Madrid,2400000
Kamil Glik,23,11/12,US Palermo,2350000
Matteo Darmian,22,12/13,US Palermo,2330000
Gastón Silva,20,14/15,Defensor,2300000
Joel Obi,24,15/16,Inter,2200000
Ignazio Abate,21,08/09,AC Milan,2200000
Gianluca Comotto,27,44748,AS Roma,2200000
Simone Zaza,27,18/19,Valencia,2000000
M'Baye Niang,22,17/18,AC Milan,2000000
Cristian Ansaldi,30,17/18,Inter,2000000
Danilo Avelar,26,15/16,Cagliari Calcio,2000000
Jean-François Gillet,33,12/13,Bologna,2000000
Blerim Dzemaili,23,09/10,Bolton,2000000
Elvis Abbruscato,27,08/09,Lecce,2000000
Bruno Peres,24,14/15,Santos FC,2000000
Luca Rossettini,31,16/17,Bologna,1980000
Ricardo Rodríguez,28,20/21,AC Milan,1950000
Riccardo Meggiorini,26,11/12,Genoa,1920000
Alexander Farnerud,29,13/14,BSC Young Boys,1800000
Nicola Bellomo,22,13/14,Bari,1800000
Saša Lukić,19,16/17,Partizan,1700000
Gianluca Sansone,25,12/13,Sassuolo,1600000
Toni Polster,23,87/88,Austria Vienna,1530000
Federico Bonazzoli,23,20/21,Sampdoria,1500000
Marco Pisano,26,08/09,US Palermo,1500000
Paolo Zanetti,24,07/08,Ascoli,1500000
Vitalie Damascan,18,17/18,FC Sheriff,1500000
Panagiotis Tachtsidis,25,16/17,Genoa,1300000
Marcelo Larrondo,24,13/14,Siena,1300000
Luca Belingheri,26,09/10,Ascoli,1300000
Riccardo Colombo,25,08/09,UC AlbinoLeffe,1300000
Alessandro Rosina,21,05/06,Parma,1250000
Aimo Diana,30,07/08,US Palermo,1200000
Salvador Ichazo,23,15/16,Danubio FC,1200000
Osarimen Ebagua,25,11/12,Varese,1200000
Valerio Di Cesare,27,10/11,Vicenza,1200000
Migjen Basha,25,12/13,Atalanta BC,1150000
Sasa Bjelanovic,28,07/08,Ascoli,1060000
Riccardo Fissore,21,01/02,Inter,1030000
Dennis Praet,27,21/22,Leicester,1000000
Samuele Ricci,20,21/22,FC Empoli,1000000
Josip Brekalo,23,21/22,VfL Wolfsburg,1000000
Roberto Soriano,27,18/19,Villarreal,1000000
Kevin Bonifazi,23,18/19,SPAL,1000000
Amer Gojak,23,20/21,Dinamo Zagreb,1000000
Andrea Gasbarroni,27,08/09,Genoa,1000000
Salvatore Lanna,30,07/08,Chievo Verona,1000000
Guillermo Rodríguez,28,12/13,Cesena,1000000
Simone Verdi,18,11/12,Milan U19,1000000
Vedin Music,32,05/06,Modena,1000000
Marcus Lantz,23,99/00,Helsingborg,1000000
Massimo Loviso,25,09/10,AS Livorno,900000
Magnus Warming,21,21/22,Lyngby BK,900000
Ciro Immobile,25,15/16,Sevilla FC,850000
Claudio Rivalta,30,08/09,Atalanta BC,800000
Cesare Bovo,30,13/14,Genoa,800000
Ivan Franceschini,29,06/07,Reggina,800000
Elvis Abbruscato,24,05/06,Arezzo,800000
Nicolás Gorobsov,19,09/10,Vicenza,800000
Brian Bayeye,22,22/23,Catanzaro,750000
Nikola Lazetic,28,06/07,AS Livorno,720000
Emiliano Moretti,32,13/14,Genoa,700000
Ola Aina,21,18/19,Chelsea,600000
Filipe Oliveira,26,10/11,Parma,600000
Samuel Gustafson,21,16/17,Häcken,600000
Michel van de Korput,23,80/81,Feyenoord,591000
Matteo Rubin,19,07/08,Cittadella,550000
Diego Laxalt,26,19/20,AC Milan,500000
Nicolas N'Koulou,27,17/18,Olympique Lyon,500000
Leandro Castán,29,16/17,Sampdoria,500000
Rubén Pérez,25,14/15,Atlético Madrid,500000
Marco Di Loreto,31,06/07,Fiorentina,500000
Giuseppe Vives,31,11/12,Lecce,500000
Carlão,30,16/17,APOEL Nicosia,500000
Francesco Coco,22,99/00,Milan,500000
Francesco Coco,29,06/07,Inter,450000
Omar El Kaddouri,23,14/15,SSC Napoli,400000
Paolo Dellafiore,23,08/09,US Palermo,400000
Mario Salgado,28,09/10,Foggia,370000
Nikola Maksimovic,21,13/14,Apol. Limassol,350000
Christian Abbiati,29,06/07,AC Milan,300000
Pablo Cáceres,27,12/13,Rangers Talca,300000
Biagio Pagano,27,10/11,AS Livorno,300000
Massimo Loviso,26,09/10,Lecce,300000
Etrit Berisha,33,22/23,SPAL,300000
Gaël Genevier,27,09/10,Siena,300000
Marco Migliorini,20,12/13,Chieti,300000
Gaby Mudingayi,22,03/04,KAA Gent,300000
Sixto Peralta,21,00/01,Inter,300000
Antonio Barreca,21,15/16,Cagliari Calcio,290000
Salvatore Masiello,29,11/12,Bari,250000
Federico Magallanes,26,02/03,AC Venezia 1907,250000
Matteo Melara,26,05/06,AS Livorno,220000
Mario Santana,30,12/13,SSC Napoli,200000
Dolly Menga,19,12/13,Lierse SK,200000
Marco Ferrante,25,96/97,Salernitana,200000
Erick Ferigra,19,18/19,Fiorentina U19,150000
Joaquín Peiró,26,62/63,Atlético Madrid,150000