Team,MP,npxG,Sh/90,SoT/90,G/Sh,Distance,npxG/Sh,Completed Passes,Pass %,Key Passes,Progressive Passes,Passes in Press,High Passes,Tackles Att 3rd,Dribbles Past,Press,5-Second Gain,Pressures %,Pressures Att 3rd,Touches Def 3rd,Touches Att 3rd,Touches Att Pen,Dribbles Attemped,Dribbles Succ%,Possession
Ajax,2,0.75,5,1,0.1,13,0.15,420.5,76.2,4,33.5,93.5,141,0.5,5.5,122,37.5,30.7,21.5,227,166,20.5,15,50,67.5
APOEL,8,0.78,8.5,3,0.1,20.4,0.09,284.9,76.3,5.38,21.8,78.4,93,1.75,14.6,186.1,44.5,23.9,31.6,165.8,109.9,15.6,21.1,62.1,38.1
Arsenal,8,1.95,14.88,4.44,0.13,15.4,0.13,472.3,84.1,11.2,41.9,86.4,84,2.53,9.76,167.7,48.6,29,39.5,201.2,181.4,31.1,21,58.6,58
Astana FK,6,0.5,8.17,2.67,0.06,18.9,0.06,335,79.2,6.83,26.8,100.8,85.5,1.83,16.3,206.3,41.3,20,32.5,232.2,99.8,13.7,18.3,54.5,38.7
AZ Alkmaar,8,1.6,12.87,4.75,0.13,18.2,0.13,515.9,83.8,10,36.6,126.4,88.8,1.75,13,173.4,52.8,30.4,39.4,241.1,166.6,25.8,23.6,70.9,58.9
Başakşehir,10,0.9,9.87,3.29,0.09,19.2,0.09,371.8,78.3,7.48,28.3,97,102.3,0.97,11.8,151.1,42.8,28.3,32.6,214.4,125.3,18.3,15,57.1,48.3
Basel,11,1.52,12.73,4.36,0.14,17.4,0.12,356.4,78.8,8.91,27.9,84.2,95.5,2.27,13.7,200.3,55.5,27.7,39.3,213.1,125.5,20.3,19.5,55.8,46.4
Benfica,2,0.79,10.5,4.5,0.14,18.7,0.08,437,83.3,9,40.5,35,89,1,15.5,178.5,49,27.5,36,147,199,22.5,22.5,71.1,46
Beşiktaş,6,0.96,10.5,2.33,0.05,17.8,0.09,505.5,82.7,8.5,35.3,131,98.8,1.67,9,147.7,49.3,33.4,35.3,192,162.3,19.3,19.2,61.7,57.8
Braga,8,1.41,13.12,5,0.15,17.3,0.11,451.3,81.4,9.88,41.1,87.8,101.1,1.88,15.4,185.1,58.6,31.7,41.9,203.6,154.4,21.1,15.5,57.3,54.8
Celtic,8,1.02,12.25,4,0.1,18.3,0.08,399.4,78.8,9,37.5,95.1,97.3,2.38,12.5,159,53.1,33.4,37.9,200.6,157.5,26,22.4,52,54
CFR Cluj,8,0.87,10.75,3.25,0.06,19.1,0.08,210.8,63.1,7.63,22.5,66.3,128.6,2.63,14,170.6,46.3,27.1,36.4,161,120,17.3,11.3,54.4,36.9
Club Brugge,2,0.89,8.5,1.5,0.06,16.6,0.1,328,77.5,6.5,21,59,87,2,13.5,226,64,28.3,31.5,255.5,115.5,16.5,15,40,36.5
CSKA Moscow,6,1.36,14.5,4,0.03,18.5,0.09,384.7,78.6,12.3,45,78.7,102.3,1.83,11.5,155.8,42.3,27.2,40.5,156,208.2,33,14.2,64.7,50.8
Dynamo Kyiv,6,1.54,17.83,4,0.07,18.4,0.09,520.5,82.6,13.3,51.3,127.8,113,1.17,9.83,151.3,53.2,35.1,38.2,171.3,228.3,34.2,19,65.8,64.8
Eint Frankfurt,10,1.41,14.5,5.1,0.1,16.2,0.1,373.5,75.8,11,40.1,95,122.1,3.1,15.3,191.9,62.5,32.6,44.3,187.3,159,26.1,17.1,56.7,54.5
Espanyol,8,1.34,12.87,4.75,0.13,16.8,0.11,432.9,80.8,9.38,34.5,74,108.1,1.88,13.6,158,49.1,31.1,39.9,162.3,174.9,24.9,16.5,55.3,56.9
F91 Dudelange,6,0.83,9.33,3,0.14,18.9,0.09,347,79.8,6.67,23.7,82.2,86.7,1.17,14.8,185.8,49.8,26.8,31,204.2,110.7,15.2,24.2,66.2,40.5
FC Copenhagen,11,0.76,6.79,1.85,0.13,17,0.12,345.8,75.8,5.22,24.8,98.7,115.2,2.3,11.3,184.4,48.3,26.2,41.8,183.5,123,15.2,15.8,57.5,47.2
FC Oleksandriya,6,0.76,10.17,2.83,0.08,18.8,0.08,279.7,72.5,6.5,29.5,70.8,105.2,2.17,14.7,157.5,40.7,25.8,37.3,184.7,121.3,21.5,11,56.1,41.8
Ferencváros,6,1.17,12.83,4.33,0.04,18.7,0.1,335,78.5,9.17,31.5,79.3,92.8,2.17,9.33,140.5,30.8,21.9,26.8,209.2,127.8,19.8,13.8,60.2,46.2
Feyenoord,6,1.06,12,4,0.08,18.6,0.09,422.3,81.5,9.5,34.7,74.3,99.8,1.33,13,181.7,48.2,26.5,32,220.3,134.2,21,17.5,63.8,52.5
Gent,8,0.93,10.87,3.38,0.13,17.6,0.09,392,79.1,9.25,38.9,92.5,112.8,2,10.1,157.9,48.4,30.6,36,194.9,135.8,19.1,16.6,70.7,51
Getafe,9,1.22,12.56,3.11,0.09,17.5,0.1,253.7,69,9,27.3,85.9,122.3,2.11,11,188.3,55.2,29.3,50.1,128.7,159.4,20.3,14.4,53.1,44.2
Inter,6,1.59,13,6.17,0.17,16.5,0.13,401.3,82,9.67,32.7,70,81.5,2,9.67,153.7,44.7,29.1,37.3,207.3,140.8,26.5,11.7,65.7,47.8
Krasnodar,6,1.55,12.33,3.5,0.07,17.7,0.14,377.2,77.1,8.17,35,92.7,101.7,1.17,11,171.7,47.7,27.8,30.2,213.7,130,17.7,13.2,68.4,53.5
LASK,10,1.37,17.3,4.5,0.08,18.5,0.08,311.4,71.1,12,44.1,66.5,129.2,2.2,23.5,233.7,70.5,30.2,63.8,144.9,178.2,27.2,16,55.6,45.8
Lazio,6,1.05,11.5,3.67,0.09,16.6,0.09,442,80.5,9.17,33.7,95.8,101.7,1.5,9.5,149.5,47.5,31.8,31.5,224.2,157,20.5,21.8,59.5,55.8
Leverkusen,5,1.31,12.2,4.2,0.13,17.5,0.11,567.8,85.1,8.8,33,111.2,80.6,1.6,14.2,149.2,50.4,33.8,25.8,286.6,140.6,20.6,14.6,57.5,62.4
Ludogorets,8,0.81,9.12,3.38,0.14,18.9,0.09,385.1,80.1,6.5,28.5,89.8,105.8,1.38,9.5,156.6,40.8,26,23.9,225.8,126.6,15.8,17.8,61.3,47.1
Lugano,6,0.71,11.17,3.17,0.03,19.9,0.06,316,76.5,8.33,25.3,85.2,96.2,1.17,8.83,185.8,48.7,26.2,24,224.2,97.7,14.7,12,63.9,42.2
M'Gladbach,6,1.62,14.33,4.17,0.05,18,0.11,472.8,80.5,9.33,45.7,91.2,103.5,2,11,180.3,63.3,35.1,53,237.8,178,27.5,19.5,63.2,59.7
Malmö,8,0.77,8.75,2.5,0.09,17.4,0.09,314.9,75,7.25,27.3,92.3,95.5,1.88,8.88,161.8,45.4,28.1,39.4,183.9,122.8,15.8,12,50,45.8
Manchester Utd,12,1.7,15.97,5.68,0.1,19.3,0.11,537.2,85.6,11.2,48,96.8,82.2,2.2,10.4,150.5,45,29.9,37.2,203.7,210.1,30.4,24.9,71.6,59.5
Olympiacos,4,0.75,10.15,3.46,0.07,19.7,0.07,431.6,82.5,7.67,27.2,95.8,108.1,1.63,9.77,124.9,35.1,28.1,24.9,236.3,114.4,12.8,12.8,67.3,51.5
Partizan,6,1.57,12.83,4.67,0.12,18.7,0.13,359.8,79,9.17,32.2,77.5,88.5,2.33,15,185.7,52,28,35.8,160,144,20.8,19.7,64.4,44.2
Porto,8,1.51,11.75,4.12,0.1,14.4,0.14,383.5,78.9,8.5,38,79.6,113.9,2.5,10.3,164.4,51.1,31.1,41.5,180,155.9,26.4,22.8,62.6,49.9
PSV Eindhoven,6,0.98,11.67,3.83,0.09,18.5,0.08,423.8,78,8.17,37.8,118.5,108.3,2,11.2,162.7,50.3,30.9,27.5,226.8,161.7,25.7,25,70,54
Qarabağ Ağdam,6,1.32,11.83,4.33,0.1,17.8,0.11,405.8,82.4,8.67,26.8,89.3,88.2,1.83,15.5,172,46.3,26.9,27.5,189.5,135.7,21,19.3,66.4,49
Rangers,10,0.91,10,3.7,0.13,16.6,0.09,336.5,76.2,8.3,28.5,88.5,104.4,2.1,10.4,159.6,47.6,29.8,33.6,198.6,133.7,18.1,17.7,53.1,43.1
RB Salzburg,2,0.96,15,4.5,0.07,15.9,0.06,396.5,73.8,12.5,48.5,116,138.5,1.5,19,152,54,35.5,33.5,231.5,146,35,35.5,47.9,57
Rennes,6,0.93,13.67,5.17,0.05,20.7,0.07,363.3,79,10.7,29.5,78,101.2,2.33,9.5,152,43,28.3,36.2,190.7,142,19.7,19.3,56,50.5
Roma,9,1.38,13.33,3.78,0.09,16,0.1,414.7,81.5,11.1,32.6,101.8,99.8,1.44,11.1,155.4,41.6,26.7,28.4,237.2,132.2,26.3,25.2,67,50.7
Rosenborg,6,0.82,10.17,2.5,0.05,17,0.08,316.7,71.2,5.83,29.8,110.3,115.3,1.67,10,169.8,53.5,31.5,44,183,161.3,21.7,16.2,53.6,46.3
Saint-Étienne,6,0.62,11.17,2.5,0.06,20.4,0.06,415.2,80.4,7.83,34.2,80.2,101,2,6.5,159.7,51.7,32.4,35,206,138.7,16.5,21.8,65.6,55
Sevilla,12,1.8,16.92,5.67,0.11,17,0.11,608.8,87.4,12.6,46.9,91.9,98,2.92,11.3,133.6,46.2,34.6,41.9,181.8,227.1,28.7,22,67.8,67.8
Shakhtar,6,1.24,11.5,6,0.17,17,0.11,500,85.9,9,25.7,89.2,80.2,2.67,11.5,127,35.7,28.1,24,214.8,148.5,21.2,23,59.4,55.2
Slovan Bratislava,6,0.86,8.5,3.5,0.18,16.5,0.1,259.5,72.6,6.17,23.8,70.2,84.8,1,12,206.8,51.7,25,28.3,182.5,96.2,14.5,17.3,58.7,36
Sporting CP,8,0.96,13.56,5.52,0.12,19.2,0.07,362.7,80.8,9.52,24.7,86.3,98.4,0.72,8.07,157.6,38.9,24.7,27.6,229.6,113.6,18,16.5,62,48.1
Standard Liège,6,0.92,10.17,3.33,0.1,19.5,0.09,315.8,77.1,7.17,31.8,93.7,87,1.67,9.67,173,38.2,22.1,36.2,197.7,120.8,15.3,22,55.3,43.7
Trabzonspor,6,0.74,9,3.17,0.06,17.9,0.08,419.5,80.9,6.5,28.3,89.3,107,1.17,9,158,50.7,32.1,23.8,225.5,117.5,16.3,18.7,66.1,53.2
Vitória,6,0.94,15.83,4.83,0.07,19.4,0.06,291.8,73.3,10.3,31.8,99.5,110,1.67,13.8,199.2,58.5,29.4,42.7,169.7,144,21,20.2,61.2,42.5
Wolfsberger AC,6,0.92,13.17,3.83,0.08,18.8,0.07,271.8,69.1,9.17,30.7,68.8,117,3.5,19.2,236.5,67,28.3,67.8,178,152.2,18.7,12.2,52.1,42.7
Wolfsburg,10,1.18,13.1,4.3,0.1,18.4,0.09,398.4,78.4,10.1,38.4,86.1,101.6,3.3,14.2,169.9,53.1,31.3,36.8,199.6,142.6,22.2,15.7,56.7,52.2
Wolves,11,1.27,11.91,4.09,0.13,18.3,0.11,386.2,80.4,8.91,30.2,89.5,104.5,1.91,10.5,160.1,42.6,26.6,27.6,180.1,139.8,18.4,21.8,59.6,47.2
Young Boys,6,0.98,9.5,2.5,0.07,16.9,0.11,318.2,74.5,7,28.7,83.8,102.2,2.17,14,177.2,47.8,27,31.3,190.8,131.7,18.2,18.8,55.8,46.5