",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report"
"2020-09-12,Sat,DFB-Pokal,First round,Away,W 4Ð1,Wolfsburg,Union FŸrstenwalde,Y,FW,62,0,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2020-09-17,Thu,Europa Lg,Second qualifying round,Away,W 4Ð0,de Wolfsburg,al Kuk‘si,Y,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2020-09-20,Sun,Bundesliga,Matchweek 1,Home,D 0Ð0,Wolfsburg,Leverkusen,Y,FW,90,0,0,0,0,1,1,0,0,35,18,0,0,3,0.4,0.4,0.1,1,0,17,25,68.0,3,17,0,0,1,Match Report"
"2020-09-24,Thu,Europa Lg,Third qualifying round,Home,W 2Ð0,de Wolfsburg,ua Desna Chernihiv,Y,FW,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2020-09-27,Sun,Bundesliga,Matchweek 2,Away,D 1Ð1,Wolfsburg,Freiburg,N,FW,14,0,0,0,0,1,0,0,0,10,2,0,0,0,0.1,0.1,0.0,0,0,4,8,50.0,1,7,1,1,1,Match Report"
"2020-10-01,Thu,Europa Lg,Play-off round,Away,L 1Ð2,de Wolfsburg,gr AEK Athens,Y,FW,90,0,1,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report"
"2020-10-04,Sun,Bundesliga,Matchweek 3,Home,D 0Ð0,Wolfsburg,Augsburg,Y,FW,90,0,0,0,0,3,2,0,0,31,10,1,0,0,0.1,0.1,0.1,3,0,17,21,81.0,0,15,1,0,1,Match Report"
"2020-10-17,Sat,Bundesliga,Matchweek 4,Away,D 1Ð1,Wolfsburg,M'Gladbach,Y,FW,90,1,0,0,0,4,2,0,0,43,17,1,0,0,0.5,0.5,0.0,1,0,22,29,75.9,2,26,2,0,0,Match Report"
"2020-10-25,Sun,Bundesliga,Matchweek 5,Home,W 2Ð1,Wolfsburg,Arminia,Y,FW,90,1,0,0,0,3,2,0,0,38,36,0,0,0,0.7,0.7,0.0,1,0,20,27,74.1,2,28,1,1,1,Match Report"
"2020-11-01,Sun,Bundesliga,Matchweek 6,Away,D 1Ð1,Wolfsburg,Hertha BSC,Y,FW,89,0,0,0,0,2,0,0,0,28,16,0,1,0,0.2,0.2,0.0,2,0,11,18,61.1,0,20,3,0,0,Match Report"
"2020-11-08,Sun,Bundesliga,Matchweek 7,Home,W 2Ð1,Wolfsburg,Hoffenheim,Y,FW,90,1,0,0,1,4,3,0,0,43,10,0,0,1,1.2,0.6,0.0,2,1,21,34,61.8,2,22,3,0,0,Match Report"
"2020-11-21,Sat,Bundesliga,Matchweek 8,Away,W 2Ð0,Wolfsburg,Schalke 04,Y,FW,88,1,1,0,0,3,2,0,0,34,25,1,0,0,0.8,0.8,0.3,1,1,17,24,70.8,0,17,2,0,1,Match Report"
"2020-11-27,Fri,Bundesliga,Matchweek 9,Home,W 5Ð3,Wolfsburg,Werder Bremen,Y,FW,90,2,0,0,0,4,2,0,0,38,12,0,0,1,0.4,0.4,0.0,2,0,18,26,69.2,1,18,2,1,1,Match Report"
"2020-12-05,Sat,Bundesliga,Matchweek 10,Away,D 2Ð2,Wolfsburg,Kšln,Y,FW,90,1,0,0,0,2,2,0,0,33,24,1,1,1,0.6,0.6,0.3,4,0,21,25,84.0,2,23,2,3,3,Match Report"
"2020-12-11,Fri,Bundesliga,Matchweek 11,Home,W 2Ð1,Wolfsburg,Eint Frankfurt,Y,FW,90,2,0,1,1,4,3,1,0,35,7,0,0,0,1.9,1.2,0.0,1,0,22,25,88.0,1,16,1,1,2,Match Report"
"2020-12-16,Wed,Bundesliga,Matchweek 12,Away,L 1Ð2,Wolfsburg,Bayern Munich,Y,FW,90,0,0,0,0,1,0,0,0,37,19,1,0,1,0.0,0.0,0.4,3,0,19,26,73.1,0,19,2,2,2,Match Report"
"2020-12-20,Sun,Bundesliga,Matchweek 13,Home,W 1Ð0,Wolfsburg,Stuttgart,Y,FW,90,0,0,0,0,2,1,0,0,40,18,1,0,0,0.4,0.4,0.6,2,0,25,35,71.4,3,21,3,0,0,Match Report"
"2020-12-23,Wed,DFB-Pokal,Second round,Home,W 4Ð0,Wolfsburg,Sandhausen,Y,FW,90,2,0,0,0,4,3,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2021-01-03,Sun,Bundesliga,Matchweek 14,Away,L 0Ð2,Wolfsburg,Dortmund,Y,FW,90,0,0,0,0,4,1,0,0,35,28,1,1,1,0.5,0.5,0.0,0,0,15,22,68.2,1,17,0,0,1,Match Report"
"2021-01-09,Sat,Bundesliga,Matchweek 15,Away,D 2Ð2,Wolfsburg,Union Berlin,Y,FW,90,1,0,1,1,0,0,1,0,33,8,0,0,2,0.8,0.0,0.5,2,0,18,26,69.2,4,15,0,1,1,Match Report"
"2021-01-16,Sat,Bundesliga,Matchweek 16,Home,D 2Ð2,Wolfsburg,RB Leipzig,Y,FW,90,1,0,0,0,3,1,1,0,40,18,0,1,0,0.9,0.9,0.0,0,0,18,29,62.1,1,20,1,0,0,Match Report"
"2021-01-19,Tue,Bundesliga,Matchweek 17,Away,W 2Ð0,Wolfsburg,Mainz 05,Y,FW,86,1,0,0,0,1,1,0,0,29,10,0,0,0,0.4,0.4,0.0,0,0,15,23,65.2,1,9,2,0,0,Match Report"
"2021-01-23,Sat,Bundesliga,Matchweek 18,Away,W 1Ð0,Wolfsburg,Leverkusen,Y,FW,90,0,0,0,0,2,2,0,0,33,18,0,1,2,0.4,0.4,0.0,1,1,9,20,45.0,1,14,0,0,0,Match Report"
"2021-01-31,Sun,Bundesliga,Matchweek 19,Home,W 3Ð0,Wolfsburg,Freiburg,Y,FW,78,1,0,0,0,3,2,0,0,27,7,0,0,1,1.2,1.2,0.0,0,0,13,19,68.4,1,11,0,0,0,Match Report"
"2021-02-03,Wed,DFB-Pokal,Round of 16,Home,W 1Ð0,Wolfsburg,Schalke 04,Y,FW,85,1,0,0,1,3,2,0,0,,,,1,,,,,,,,,,,,,,,Match Report"
"2021-02-06,Sat,Bundesliga,Matchweek 20,Away,W 2Ð0,Wolfsburg,Augsburg,Y,FW,89,1,1,0,0,7,2,0,0,31,18,0,0,2,1.3,1.3,0.1,4,1,12,21,57.1,2,18,2,1,1,Match Report"
"2021-02-14,Sun,Bundesliga,Matchweek 21,Home,D 0Ð0,Wolfsburg,M'Gladbach,Y,FW,90,0,0,0,0,1,1,0,0,43,8,0,0,0,0.0,0.0,0.2,4,0,22,39,56.4,2,34,2,1,1,Match Report"
"2021-02-19,Fri,Bundesliga,Matchweek 22,Away,W 3Ð0,Wolfsburg,Arminia,Y,FW,82,0,1,0,0,2,1,0,0,33,9,0,0,1,0.1,0.1,0.0,2,2,15,21,71.4,4,18,0,1,2,Match Report"
"2021-02-27,Sat,Bundesliga,Matchweek 23,Home,W 2Ð0,Wolfsburg,Hertha BSC,Y,FW,85,0,0,0,0,1,0,0,0,29,10,0,0,0,0.0,0.0,0.0,1,0,13,22,59.1,0,12,1,0,0,Match Report"
"2021-03-03,Wed,DFB-Pokal,Quarter-finals,Away,L 0Ð2,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,1,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2021-03-06,Sat,Bundesliga,Matchweek 24,Away,L 1Ð2,Wolfsburg,Hoffenheim,Y,FW,90,1,0,0,0,5,2,0,0,26,16,0,0,1,1.1,1.1,0.1,2,0,13,17,76.5,0,10,2,0,0,Match Report"
"2021-03-13,Sat,Bundesliga,Matchweek 25,Home,W 5Ð0,Wolfsburg,Schalke 04,Y,FW,83,1,2,0,0,4,1,0,0,29,17,1,0,1,0.3,0.3,0.6,3,2,10,18,55.6,2,15,3,0,2,Match Report"
"2021-03-20,Sat,Bundesliga,Matchweek 26,Away,W 2Ð1,Wolfsburg,Werder Bremen,Y,FW,90,1,0,0,0,4,2,0,0,40,11,0,0,0,0.6,0.6,0.3,4,0,25,32,78.1,3,29,3,3,4,Match Report"
"2021-04-03,Sat,Bundesliga,Matchweek 27,Home,W 1Ð0,Wolfsburg,Kšln,Y,FW,90,0,1,0,0,5,3,0,0,40,28,0,1,0,0.4,0.4,0.1,3,1,17,28,60.7,2,17,3,1,1,Match Report"
"2021-04-10,Sat,Bundesliga,Matchweek 28,Away,L 3Ð4,Wolfsburg,Eint Frankfurt,Y,FW,90,1,1,0,0,4,1,0,0,43,12,0,0,0,0.8,0.8,0.3,5,1,19,30,63.3,1,23,2,1,1,Match Report"
"2021-04-17,Sat,Bundesliga,Matchweek 29,Home,L 2Ð3,Wolfsburg,Bayern Munich,Y,FW,90,1,0,0,0,2,1,0,0,49,42,2,0,0,0.2,0.2,0.1,4,1,26,37,70.3,4,25,0,1,1,Match Report"
"2021-04-21,Wed,Bundesliga,Matchweek 30,Away,W 3Ð1,Wolfsburg,Stuttgart,Y,FW,87,1,0,0,0,1,1,0,0,32,30,2,0,0,0.1,0.1,0.4,3,1,15,26,57.7,3,16,0,0,0,Match Report"
"2021-04-24,Sat,Bundesliga,Matchweek 31,Home,L 0Ð2,Wolfsburg,Dortmund,Y,FW,90,0,0,0,0,2,0,0,0,28,21,0,0,2,0.4,0.4,0.1,4,0,16,21,76.2,1,16,0,0,0,Match Report"
"2021-05-08,Sat,Bundesliga,Matchweek 32,Home,W 3Ð0,Wolfsburg,Union Berlin,Y,FW,90,0,0,0,0,3,0,0,0,33,14,1,0,0,0.4,0.4,0.0,5,0,17,22,77.3,3,25,6,1,2,Match Report"
"2021-05-16,Sun,Bundesliga,Matchweek 33,Away,D 2Ð2,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,2,0,0,0,38,20,0,0,0,0.2,0.2,0.1,1,0,17,27,63.0,0,20,0,1,1,Match Report"
"2021-05-22,Sat,Bundesliga,Matchweek 34,Home,L 2Ð3,Wolfsburg,Mainz 05,Y,FW,90,0,1,0,0,2,1,0,0,18,22,0,0,0,0.5,0.5,0.0,0,0,5,9,55.6,1,13,1,0,1,Match Report"
"2021-06-02,Wed,Friendlies (M),Friendlies (M),Home,D 2Ð2,nl Netherlands,sct Scotland,Y,FW,68,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2021-06-06,Sun,Friendlies (M),Friendlies (M),Home,W 3Ð0,nl Netherlands,ge Georgia,Y,FW,65,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2021-06-13,Sun,UEFA Euro,Group stage,Neutral,W 3Ð2,nl Netherlands,ua Ukraine,Y,FW,87,1,0,0,0,2,2,0,0,27,24,3,0,1,0.2,0.2,0.1,1,0,13,18,72.2,0,21,2,0,0,Match Report"
"2021-06-17,Thu,UEFA Euro,Group stage,Neutral,W 2Ð0,nl Netherlands,at Austria,Y,FW,63,0,0,0,0,1,0,0,0,25,19,0,0,0,0.1,0.1,0.9,2,0,14,22,63.6,0,17,3,0,0,Match Report"
"2021-06-21,Mon,UEFA Euro,Group stage,Neutral,W 3Ð0,nl Netherlands,mk North Macedonia,N,FW,25,0,0,0,0,2,0,0,0,10,9,0,0,0,0.3,0.3,0.0,0,0,5,5,100.0,1,6,0,0,0,Match Report"
"2021-06-27,Sun,UEFA Euro,Round of 16,Neutral,L 0Ð2,nl Netherlands,cz Czech Republic,N,FW,18,0,0,0,0,0,0,0,0,9,6,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,0,1,0,0,0,Match Report"
",,,,,26-11-10,,,44/47,,3851,27,9,2,5,109,52,3,0,1225,639,16,8,21,18.5,16.4,5.8,75,12,600,885,67.8,55,671,56,21,32,"