Date,Match,Team,Venue,Player,xG,Minute,Shot Type,Situation,Result
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Cenk Tosun,0.07,16,Left,Corner,Miss
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Valon Ethemi,0.06,18,Left,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Arthur Masuaku,0.03,22,Left,Corner,Miss
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Mahamadou Ba,0.08,33,Header,Set piece,Miss
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Gedson Fernandes,0.02,34,Right,Regular,Blocked
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Cenk Tosun,0.2,42,Header,Corner,Goal
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Onur Bulut,0.08,44,Right,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Muammer Sarikaya,0.02,45,Right,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Cenk Tosun,0.04,46,Right,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Vincent Aboubakar,0.06,47,Right,Regular,Blocked
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Florian Loshaj,0.04,50,Left,Regular,Post
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Vincent Aboubakar,0.03,56,Right,Regular,Goal
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Jason Eyenga-Lokilo,0.01,65,Left,Regular,Blocked
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Amir Hadziahmetovic,0.04,67,Left,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Jason Eyenga-Lokilo,0.15,70,Left,Regular,Goal
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Emir Gültekin,0.21,73,Right,Regular,Saved
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Amir Hadziahmetovic,0.04,75,Right,Regular,Blocked
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Mahamadou Ba,0.01,77,Right,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Emir Gültekin,0.04,78,Left,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Alexandru Maxim,0.68,89,Header,Regular,Post
2023-03-18,Besiktas-Istanbulspor,Istanbulspor,A,Valon Ethemi,0.02,92,Right,Regular,Miss
2023-03-18,Besiktas-Istanbulspor,Besiktas,H,Nathan Redmond,0.05,93,Left,Regular,Goal